country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Poland,5M,5M,12M,111M,237M,234M,319M,309M,288M,323M,268M,274M,272M,158M,232M,299M,406M,382M,317M,229M,207M,346M,211M,115M,90M,130M,265M,222M,232M,20M,105M,55M,56M,,131M,175M,46M,21M,1M,64M,47M,81M,56M,81M,47M,18M,282M,163M,73M,75M,28M,8M,24M,142M,24M,3M,5M,15M,22M,9M,13M
North Korea,,,,,,,,,,,,,,,8M,12M,,,,20M,29M,5M,148M,250M,88M,57M,65M,212M,189M,66M,4M,113M,131M,137M,24M,41M,47M,47M,81M,55M,58M,73M,162M,134M,47M,20M,20M,20M,20M,26M,5M,,,,1M,,,,,,
Portugal,,,,,,,,2M,,,,3M,,5M,11M,105M,21M,,4M,4M,2M,,,1M,,,1M,1M,,71M,,,,1M,,,,,,,,,,,,,,,99M,46M,,0,0,,18M,7M,172M,56M,3M,3M,46M
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40M,,,,,,9M,,,,,,,2M,,,,,0,,,,,,,3M,11M,
Romania,,,,,,,,,,,,6M,9M,9M,1M,,,,27M,44M,48M,30M,91M,101M,173M,99M,28M,35M,52M,25M,7M,5M,14M,16M,29M,9M,4M,11M,2M,19M,3M,,,24M,,3M,8M,32M,,2M,1M,0,,216M,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6B,3.44B,1.48B,3.89B,3.55B,3.35B,2.03B,4.26B,4.49B,5.27B,5.73B,5.14B,6.25B,5.19B,5.13B,5.5B,6.17B,5.03B,6.21B,8.68B,8.18B,7.92B,5.47B,5.92B,6.79B,6.09B,6.75B,5.23B,3.2B
Saudi Arabia,,,,,,,,4M,3M,,,,2M,,,,0,13M,,,,33M,,,3M,4M,,,,,,,,12M,,,1M,,,,,,,,,,18M,,,,1M,62M,,,,3M,5M,,,,
Sudan,,,,,,,,1M,,,,,,,,,,,,,,,,,,,4M,,,,,,,,,,,,,,,,,,,,,,,,,,,11M,,,,,,,
Senegal,,,,,,,,,,,,,,,,,3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,2M,,,,17M,,,30M,72M,,15M,,25M,88M,,,81M,25M,87M,44M,3M,3M,11M,30M,,0,46M,23M,11M,11M,,4M,,65M,,,,,32M,26M,14M,76M,2M,4M,49M,48M,,,,
